"request_time","request_day","number_of_rides","platform","age_range"
"00","01/01/2022","1","android","35-44"
"00","01/01/2022","1","ios","35-44"
"00","01/01/2022","1","ios","Unknown"
"00","01/02/2021","1","android","25-34"
"00","01/02/2021","1","ios","35-44"
"00","01/02/2022","1","android","25-34"
"00","01/02/2022","1","android","35-44"
"00","01/02/2022","1","web","Unknown"
"00","01/03/2021","1","ios","Unknown"
"00","01/03/2021","1","web","25-34"
"00","01/03/2022","1","ios","25-34"
"00","01/03/2022","1","ios","35-44"
"00","01/03/2022","2","ios","45-54"
"00","01/04/2021","1","ios","35-44"
"00","01/04/2021","1","ios","Unknown"
"00","01/04/2021","1","web","25-34"
"00","01/04/2021","1","web","35-44"
"00","01/06/2021","2","android","35-44"
"00","01/06/2021","3","ios","Unknown"
"00","01/07/2021","2","android","Unknown"
"00","01/07/2021","1","ios","35-44"
"00","01/07/2021","1","web","35-44"
"00","01/08/2021","1","android","18-24"
"00","01/08/2021","1","android","35-44"
"00","01/08/2021","1","android","Unknown"
"00","01/08/2021","1","ios","18-24"
"00","01/08/2021","2","ios","35-44"
"00","01/08/2021","1","ios","45-54"
"00","01/08/2021","1","web","35-44"
"00","01/09/2021","1","android","25-34"
"00","01/09/2021","1","android","Unknown"
"00","01/09/2021","1","ios","25-34"
"00","01/09/2021","1","ios","35-44"
"00","01/09/2021","1","ios","45-54"
"00","01/09/2021","1","ios","Unknown"
"00","01/10/2021","1","android","25-34"
"00","01/10/2021","1","ios","18-24"
"00","01/10/2021","1","ios","25-34"
"00","01/10/2021","1","ios","35-44"
"00","01/10/2021","2","ios","45-54"
"00","01/10/2021","2","ios","Unknown"
"00","01/11/2021","1","android","25-34"
"00","01/11/2021","1","web","Unknown"
"00","01/12/2021","1","android","18-24"
"00","01/12/2021","1","android","45-54"
"00","01/12/2021","1","ios","25-34"
"00","01/12/2021","1","ios","35-44"
"00","01/12/2021","1","ios","45-54"
"00","01/12/2021","3","ios","Unknown"
"00","01/12/2021","1","web","18-24"
"00","02/01/2022","1","android","25-34"
"00","02/01/2022","1","android","35-44"
"00","02/01/2022","1","android","45-54"
"00","02/01/2022","2","ios","35-44"
"00","02/02/2021","1","web","35-44"
"00","02/02/2022","2","ios","35-44"
"00","02/03/2021","2","ios","35-44"
"00","02/03/2021","1","web","35-44"
"00","02/03/2022","1","android","35-44"
"00","02/04/2021","1","android","Unknown"
"00","02/04/2021","1","ios","35-44"
"00","02/04/2021","1","web","35-44"
"00","02/05/2021","1","ios","45-54"
"00","02/05/2021","1","ios","Unknown"
"00","02/06/2021","1","ios","25-34"
"00","02/06/2021","1","ios","35-44"
"00","02/06/2021","1","ios","45-54"
"00","02/06/2021","1","ios","Unknown"
"00","02/06/2021","1","web","18-24"
"00","02/07/2021","4","android","Unknown"
"00","02/07/2021","1","ios","25-34"
"00","02/07/2021","1","ios","35-44"
"00","02/07/2021","1","ios","Unknown"
"00","02/08/2021","1","android","35-44"
"00","02/08/2021","1","android","Unknown"
"00","02/08/2021","1","ios","25-34"
"00","02/08/2021","3","ios","35-44"
"00","02/08/2021","1","ios","Unknown"
"00","02/08/2021","1","web","25-34"
"00","02/09/2021","2","android","Unknown"
"00","02/09/2021","1","ios","45-54"
"00","02/10/2021","1","ios","25-34"
"00","02/10/2021","1","ios","35-44"
"00","02/11/2021","1","android","Unknown"
"00","02/11/2021","1","ios","18-24"
"00","02/11/2021","1","ios","25-34"
"00","02/11/2021","2","ios","35-44"
"00","02/11/2021","1","ios","Unknown"
"00","02/12/2021","1","android","25-34"
"00","02/12/2021","3","android","Unknown"
"00","02/12/2021","1","ios","Unknown"
"00","02/12/2021","1","web","Unknown"
"00","03/01/2022","1","android","Unknown"
"00","03/01/2022","3","ios","35-44"
"00","03/01/2022","1","ios","45-54"
"00","03/01/2022","1","ios","Unknown"
"00","03/01/2022","1","web","18-24"
"00","03/01/2022","1","web","25-34"
"00","03/01/2022","1","web","Unknown"
"00","03/02/2021","1","android","35-44"
"00","03/02/2022","1","android","25-34"
"00","03/02/2022","1","ios","18-24"
"00","03/02/2022","1","web","Unknown"
"00","03/03/2021","1","android","18-24"
"00","03/03/2021","1","ios","35-44"
"00","03/03/2021","1","web","45-54"
"00","03/04/2021","1","android","25-34"
"00","03/04/2021","1","ios","45-54"
"00","03/04/2021","1","ios","Unknown"
"00","03/05/2021","1","android","Unknown"
"00","03/05/2021","1","ios","25-34"
"00","03/05/2021","2","ios","35-44"
"00","03/05/2021","1","ios","45-54"
"00","03/05/2021","2","ios","Unknown"
"00","03/06/2021","1","ios","18-24"
"00","03/06/2021","1","ios","25-34"
"00","03/06/2021","1","ios","35-44"
"00","03/06/2021","1","ios","45-54"
"00","03/07/2021","1","android","Unknown"
"00","03/07/2021","1","ios","25-34"
"00","03/07/2021","2","ios","35-44"
"00","03/07/2021","1","ios","45-54"
"00","03/07/2021","3","ios","Unknown"
"00","03/08/2021","1","android","45-54"
